city_id,city_name,store_id,company_name,branch_name,product_id,product_name,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,year,month,day,day_of_week,is_weekend,sales_lag_1,sales_ma_7
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-08,1.9,0,0.86,0,0,2024,4,8,0,0,1.5,2.9
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-09,2.0,2,0.87,0,1,2024,4,9,1,0,1.9,2.857142857142857
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-10,0.7,0,0.82,0,1,2024,4,10,2,0,2.0,2.7714285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-11,1.6,0,0.82,0,1,2024,4,11,3,0,0.7,2.3285714285714287
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-12,3.1,1,0.9,0,1,2024,4,12,4,0,1.6,2.3285714285714287
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-13,6.4,6,0.8,1,1,2024,4,13,5,1,3.1,2.457142857142857
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-14,7.7,5,0.79,1,1,2024,4,14,6,1,6.4,3.3428571428571425
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-15,1.5,5,0.94,0,0,2024,4,15,0,0,7.7,3.2857142857142856
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-16,1.7,0,0.9,0,0,2024,4,16,1,0,1.5,3.2428571428571433
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-17,1.2,7,0.88,0,0,2024,4,17,2,0,1.7,3.314285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-18,1.1,0,0.9,0,0,2024,4,18,3,0,1.2,3.2428571428571433
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-19,1.4,10,0.81,0,1,2024,4,19,4,0,1.1,3.0
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-20,7.5,3,0.81,1,1,2024,4,20,5,1,1.4,3.1571428571428575
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-21,7.4,5,0.8,1,1,2024,4,21,6,1,7.5,3.1142857142857143
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-22,1.3,0,0.87,0,1,2024,4,22,0,0,7.4,3.085714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-23,0.9,5,0.77,0,1,2024,4,23,1,0,1.3,2.9714285714285715
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-24,1.3,0,0.79,0,1,2024,4,24,2,0,0.9,2.985714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-25,0.7,0,0.9,0,1,2024,4,25,3,0,1.3,2.9285714285714284
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-26,1.0,0,0.8,0,1,2024,4,26,4,0,0.7,2.8714285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-27,5.8,0,0.78,1,1,2024,4,27,5,1,1.0,2.6285714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-28,0.8,7,0.82,1,1,2024,4,28,6,1,5.8,1.6857142857142857
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-29,1.0,6,0.91,0,0,2024,4,29,0,0,0.8,1.6428571428571428
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-04-30,1.0,9,0.94,0,0,2024,4,30,1,0,1.0,1.6571428571428573
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-01,9.9,0,0.88,1,0,2024,5,1,2,0,1.0,2.885714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-02,1.8,12,0.87,1,0,2024,5,2,3,0,9.9,3.042857142857143
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-03,3.0,11,0.89,1,0,2024,5,3,4,0,1.8,3.3285714285714287
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-04,5.3,9,0.88,1,0,2024,5,4,5,1,3.0,3.257142857142857
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-05,8.1,0,0.88,1,0,2024,5,5,6,1,5.3,4.3
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-06,1.5,0,0.87,0,0,2024,5,6,0,0,8.1,4.371428571428572
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-07,1.3,0,0.9,0,0,2024,5,7,1,0,1.5,4.414285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-08,0.6,0,0.94,0,0,2024,5,8,2,0,1.3,3.085714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-09,1.7,0,0.9,0,0,2024,5,9,3,0,0.6,3.0714285714285716
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-10,2.7,6,0.87,0,1,2024,5,10,4,0,1.7,3.0285714285714285
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-11,6.4,7,0.85,1,0,2024,5,11,5,1,2.7,3.185714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-12,6.9,11,0.84,1,0,2024,5,12,6,1,6.4,3.0142857142857147
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-13,2.4,5,0.96,0,0,2024,5,13,0,0,6.9,3.142857142857143
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-14,1.5,0,0.94,0,0,2024,5,14,1,0,2.4,3.1714285714285713
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-15,1.3,0,0.94,0,0,2024,5,15,2,0,1.5,3.271428571428572
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-16,1.5,6,0.94,0,0,2024,5,16,3,0,1.3,3.242857142857143
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-17,2.5,8,0.92,0,0,2024,5,17,4,0,1.5,3.2142857142857144
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-18,12.0,4,0.86,1,0,2024,5,18,5,1,2.5,4.014285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-19,10.1,0,0.86,1,0,2024,5,19,6,1,12.0,4.471428571428571
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-20,2.4,4,0.9,0,0,2024,5,20,0,0,10.1,4.4714285714285715
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-21,0.4,0,0.88,0,0,2024,5,21,1,0,2.4,4.314285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-22,2.0,0,0.84,0,0,2024,5,22,2,0,0.4,4.414285714285714
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-23,1.9,0,0.93,0,0,2024,5,23,3,0,2.0,4.4714285714285715
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-24,2.6,4,0.95,0,0,2024,5,24,4,0,1.9,4.485714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-25,7.9,0,0.85,1,0,2024,5,25,5,1,2.6,3.9
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-26,4.5,0,0.85,1,0,2024,5,26,6,1,7.9,3.1000000000000005
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-27,2.7,1,0.93,0,0,2024,5,27,0,0,4.5,3.142857142857143
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-28,1.1,0,0.87,0,0,2024,5,28,1,0,2.7,3.2428571428571433
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-29,1.8,0,0.87,0,0,2024,5,29,2,0,1.1,3.2142857142857144
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-30,1.3,0,0.85,0,0,2024,5,30,3,0,1.8,3.1285714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-05-31,2.6,0,0.85,0,0,2024,5,31,4,0,1.3,3.128571428571429
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-06-01,5.9,0,0.85,1,0,2024,6,1,5,1,2.6,2.8428571428571425
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-06-02,6.5,5,0.85,1,0,2024,6,2,6,1,5.9,3.1285714285714286
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-06-03,1.5,4,0.93,0,0,2024,6,3,0,0,6.5,2.9571428571428577
0,Bangalore,0,Dmart,Branch 1,4,Grapes,2024-06-04,1.4,7,0.9,0,0,2024,6,4,1,0,1.5,3.0
