store_id,product_id,city_name,company_name,branch_name,product_name,day_1_forecast,day_2_forecast,day_3_forecast,day_4_forecast,day_5_forecast,day_6_forecast,day_7_forecast
0,4,1,0,0,186,4.422755,3.3397658,6.382882,8.499065,14.059409,18.870913,29.628105
0,6,1,0,0,290,5.769489,7.1228237,8.127304,7.5753756,16.985634,20.492502,31.20959
0,18,1,0,0,49,3.4836771,5.4308834,7.583555,13.912799,20.807308,34.21399,44.13346
0,19,1,0,0,53,2.5930557,3.5754473,4.1539645,5.0678067,11.125077,17.889318,21.663218
0,21,1,0,0,67,2.701591,3.6362975,2.7025173,3.1320603,6.8210053,13.278889,19.559256
0,23,1,0,0,87,5.003042,3.4567952,4.6387467,4.2624726,7.904537,10.525265,14.282111
0,26,1,0,0,106,14.296284,11.566497,15.885292,31.6843,36.66651,39.28815,40.243008
0,38,1,0,0,174,15.814309,16.287455,26.678747,34.766853,37.70411,44.87412,40.514183
0,41,1,0,0,191,16.483412,12.710837,23.88901,30.097366,30.212317,30.562302,29.91131
0,70,1,0,0,354,17.882042,18.70829,32.162876,33.047024,36.28092,42.35434,37.643353
0,72,1,0,0,367,17.097002,16.089674,23.949507,33.034935,36.29408,42.61636,36.98825
0,76,1,0,0,382,12.11975,14.540127,20.036356,31.39483,36.14925,41.669903,39.61046
0,90,1,0,0,443,16.164654,19.02149,28.342049,30.657291,31.115587,36.444542,33.57949
0,93,1,0,0,445,16.777828,25.106245,35.680256,41.760956,41.791862,40.537033,32.399525
0,104,1,0,0,4,16.02138,22.62389,37.360943,39.581524,40.930603,41.76579,41.459965
0,117,1,0,0,15,21.287567,29.622553,44.781837,54.433624,55.377617,56.740963,49.70685
0,118,1,0,0,16,18.722448,26.962364,47.486507,57.13225,56.618305,58.28801,50.68643
0,122,1,0,0,21,16.810835,21.390465,31.633787,42.80676,50.22844,50.84892,43.36505
0,127,1,0,0,22,17.424543,17.928713,30.393959,43.868084,53.646133,54.371567,45.132313
0,129,1,0,0,24,19.063702,25.623358,47.979153,57.488567,56.59766,58.787056,51.652374
0,136,1,0,0,29,20.293037,20.78592,37.841686,49.52891,54.824036,55.80352,53.13556
0,166,1,0,0,45,14.2929125,17.800013,27.309082,46.95074,58.333996,57.956253,47.882343
0,190,1,0,0,54,13.382249,20.34169,30.457691,51.139698,61.958355,62.087757,54.1234
0,193,1,0,0,57,18.365984,21.946653,47.70361,56.61422,57.17298,58.51324,50.952694
0,194,1,0,0,58,20.771282,30.07265,47.27523,59.665997,60.452385,61.777103,54.19096
0,201,1,0,0,63,17.516905,22.190374,46.499634,58.908203,59.78065,61.10537,53.79585
0,207,1,0,0,65,15.072052,22.135736,32.74163,45.066994,50.729126,51.231552,42.77363
0,214,1,0,0,72,12.581076,29.556854,47.519455,59.69214,60.468845,61.793564,53.983913
0,215,1,0,0,73,10.019358,20.147676,35.78232,53.1315,64.49741,64.049904,52.976254
0,223,1,0,0,81,15.235768,29.408947,47.17768,59.515488,60.387936,61.71559,54.20191
0,253,1,0,0,101,13.513133,20.045832,36.558903,37.837555,41.730003,42.901413,43.279068
0,259,1,0,0,105,14.879544,17.021349,32.075542,36.5673,45.332874,45.196022,38.966946
0,291,1,0,0,125,12.948922,11.0619545,22.84811,31.693346,37.759205,37.613674,31.953785
0,296,1,0,0,130,12.749338,19.22637,30.21262,34.196907,42.14704,41.688618,36.076897
0,300,1,0,0,133,18.554485,21.47432,33.437687,41.56818,43.18867,41.89563,37.371826
0,310,1,0,0,141,23.165602,35.328552,38.17485,42.96414,41.610447,42.416573,39.875435
